31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ABC SL                                                                                     Balance de Situación                                                                                                       Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           1

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
|3164    |Dotación al fondo de reversión                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3164    |6900006901 Pérdidas por deterioro del inmovilizado intangible|BERG|6900006901|CONS|690000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    111.856,22 |    191.753,52 |    79.897,30-|     41,7-|    41,7-|               |
|3164    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    111.856,22 |    191.753,52 |    79.897,30-|     41,7-|    41,7-|4              |
|316     |Total otros gastos de explotación                            |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  2.964.268,24 |  3.566.856,99 |   602.588,75-|     16,9-|    16,9-|3              |
|316     |---------------------------------                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|31      |Total gastos                                                 |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  9.168.772,45 |  8.659.909,73 |   508.862,72 |       5,9|     5,9 |2              |
|31      |============                                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|32      |Ingresos                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|32      |========                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|321     |Importe neto de la cifra de negocios                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|321     |------------------------------------                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3212    |Prestaciones de servicios                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3212    |7050000103 Penalizaciones Absorbidas                         |BERG|7050000103|CONS|705000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      2.297,91-|     2.297,91 |     100,0|   100,0 |               |
|3212    |7050000420 Trabajos extraordinarios                          |BERG|7050000420|CONS|705000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    779.843,72-|  1.130.588,25-|   350.744,53 |      31,0|    31,0 |               |
|3212    |7050000630 Traslados Remoción y movimientos internos         |BERG|7050000630|CONS|705000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  8.947.214,01-|  6.926.982,07-| 2.020.231,94-|     29,2-|    29,2-|               |
|3212    |7050008662 Extras por variación de combustible               |BERG|7050008662|CONS|705000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     68.124,80-|     52.802,96-|    15.321,84-|     29,0-|    29,0-|               |
|3212    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  9.795.182,53-|  8.112.671,19-| 1.682.511,34-|     20,7-|    20,7-|4              |
|321     |Total importe neto de la cifra de negocios                   |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  9.795.182,53-|  8.112.671,19-| 1.682.511,34-|     20,7-|    20,7-|3              |
|321     |------------------------------------------                   |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|324     |Otros ingresos de explotación                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|324     |-----------------------------                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3241    |Ingresos accesorios y otros de gestión corr.                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3241    |7550008639 Ingresos por pagos en especie Operativos          |BERG|7550008639|CONS|755000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      1.836,86-|      1.539,84-|       297,02-|     19,3-|    19,3-|               |
|3241    |7590000000 INGRESOS POR SERVICIOS DIVERSOS                   |BERG|7590000000|CONS|759000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |          0,02-|         0,02 |     100,0|   100,0 |               |
|3241    |7590008606 Otros ingresos varios operativo (NABS)            |BERG|7590008606|CONS|759000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      8.513,86-|     8.513,86 |     100,0|   100,0 |               |
|3241    |7590008612 Ingresos por refacturaciones de gastos de IT BYCO |BERG|7590008612|CONS|759000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    284.139,24-|    487.095,84-|   202.956,60 |      41,7|    41,7 |               |
|3241    |7590008767 Bonificación Formación Continua                   |BERG|7590008767|CONS|759000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |        554,00-|       554,00 |     100,0|   100,0 |               |
|3241    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    285.976,10-|    497.703,56-|   211.727,46 |      42,5|    42,5 |4              |
|3243    |Exceso de provisiones de riesgos y gastos                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3243    |7900006110 Reversión del deterioro del inmo intangible (-)   |BERG|7900006110|CONS|790000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    159.794,65-|          0,00 |   159.794,65-|          |     0,0 |               |
|3243    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    159.794,65-|          0,00 |   159.794,65-|          |     0,0 |4              |
|324     |Total otros ingresos de explotación                          |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    445.770,75-|    497.703,56-|    51.932,81 |      10,4|    10,4 |3              |
|324     |-----------------------------------                          |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|32      |Total ingresos                                               |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 10.240.953,28-|  8.610.374,75-| 1.630.578,53-|     18,9-|    18,9-|2              |
|32      |==============                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3       |RESULTADOS DE EXPLOTACION                                    |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.072.180,83-|     49.534,98 | 1.121.715,81-|  2.264,5-| 2.264,5-|1              |
|3       |=========================                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     4
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           4

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|4       |RESULTADOS FINANCIEROS                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|4       |======================                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|41      |Gastos                                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|41      |======                                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|411     |Gastos financieros y gastos asimilados                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|411     |--------------------------------------                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|4111    |Por deudas con empresas del grupo                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|4111    |6620002820 Intereses de deudas CP, empresas del Grupo        |BERG|6620002820|CONS|662000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     45.153,32 |          0,00 |    45.153,32 |          |     0,0 |               |
|4111    |6620016621 Intereses de deudas LP, empresas del Grupo        |BERG|6620016621|CONS|662000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     11.751,27-|     11.751,27 |    23.502,54-|    200,0-|   200,0-|               |
|4111    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     33.402,05 |     11.751,27 |    21.650,78 |     184,2|   184,2 |4              |
|4113    |Por deudas con terceros y gastos asimilados                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|4113    |6622210001 Ints. deudas, empresas grupo, TRAMO C             |BERG|6622210001|CONS|662221N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      8.704,01 |     65.127,64 |    56.423,63-|     86,6-|    86,6-|               |
|4113    |6690006073 Otros gastos financieros                          |BERG|6690006073|CONS|669000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      7.182,24 |          0,00 |     7.182,24 |          |     0,0 |               |
|4113    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     15.886,25 |     65.127,64 |    49.241,39-|     75,6-|    75,6-|4              |
|411     |Total gastos financieros y gastos asimilados                 |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     49.288,30 |     76.878,91 |    27.590,61-|     35,9-|    35,9-|3              |
|411     |--------------------------------------------                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|413     |Diferencias negativas de cambio                              |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|413     |-------------------------------                              |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|413     |6680000265 Diferencias  negativas de cambio                  |BERG|6680000265|CONS|668000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,18 |          0,05 |         0,13 |     260,0|   260,0 |               |
|413     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,18 |          0,05 |         0,13 |     260,0|   260,0 |3              |
|41      |Total gastos                                                 |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     49.288,48 |     76.878,96 |    27.590,48-|     35,9-|    35,9-|2              |
|41      |============                                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|42      |Ingresos                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|42      |========                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|424     |Diferencias positivas de cambio                              |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|424     |-------------------------------                              |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|424     |7680000265 Diferencias positivas de cambio                   |BERG|7680000265|CONS|768000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,13-|          0,20-|         0,07 |      35,0|    35,0 |               |
|424     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,13-|          0,20-|         0,07 |      35,0|    35,0 |3              |
|42      |Total ingresos                                               |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,13-|          0,20-|         0,07 |      35,0|    35,0 |2              |
|42      |==============                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|4       |RESULTADOS FINANCIEROS                                       |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     49.288,35 |     76.878,76 |    27.590,41-|     35,9-|    35,9-|1              |
|4       |======================                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     5
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           5

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|6       |RESULTADOS DEL EJERCICIO                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|6       |========================                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|61      |Impuesto sobre Sociedades                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|61      |=========================                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|61      |6300000000 IMPUESTO SOBRE BENEFICIOS CORRIENTE               |BERG|6300000000|CONS|630000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    269.061,69 |     24.502,71 |   244.558,98 |     998,1|   998,1 |               |
|61      |6300020000 Impuesto sobre beneficios ejercicios anteriores   |BERG|6300020000|CONS|630002N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |        681,65-|       681,65 |     100,0|   100,0 |               |
|61      |6301000000 IMPUESTO SOBRE BENEFICIOS DIFERIDO                |BERG|6301000000|CONS|630100N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     10.903,33-|      8.167,76-|     2.735,57-|     33,5-|    33,5-|               |
|61      |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    258.158,36 |     15.653,30 |   242.505,06 |   1.549,2| 1.549,2 |2              |
|6       |RESULTADOS DEL EJERCICIO                                     |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    258.158,36 |     15.653,30 |   242.505,06 |   1.549,2| 1.549,2 |1              |
|6       |========================                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     6
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           6

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|7       |RESULTADO DEL EJERCICIO                                      |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    764.734,12 |    142.067,04-|   906.801,16 |     638,3|   638,3 |1              |
|7       |=======================                                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     7
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           7

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|0       |CUENTAS NO ASIGNADAS                                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|0       |====================                                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|0       |2160000000 MOBILIARIO                                        |BERG|2160000000|CONS|216000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      3.903,00 |     3.903,00-|    100,0-|   100,0-|               |
|0       |2806000000 AMORTIZACIÓN ACUMULADA APLICACIONES INFORMÁTICAS  |BERG|2806000000|CONS|280600N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    935.656,24-|    548.488,24-|   387.168,00-|     70,6-|    70,6-|               |
|0       |2906000000 DETERIORO DE VALOR DE APLICACIONES INFORMÁTICAS   |BERG|2906000000|CONS|290600N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    223.712,39-|    271.650,82-|    47.938,43 |      17,6|    17,6 |               |
|0       |4160000000 ANTICIPOS A ACREEDORES                            |BERG|4160000000|CONS|416000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        400,00 |          0,00 |       400,00 |          |     0,0 |               |
|0       |7622210001 Ingr. de créd a empr del grupo, TRAMO C           |BERG|7622210001|CONS|762221N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     13.865,68-|          0,00 |    13.865,68-|          |     0,0 |               |
|0       |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.172.834,31-|    816.236,06-|   356.598,25-|     43,7-|    43,7-|1              |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
